ID	EGAR00001193088	EGAR00001193082	EGAR00001193062	EGAR00001193016	EGAR00001193014	EGAR00001193032	EGAR00001193066	EGAR00001193060	EGAR00001193048	EGAR00001193040	EGAR00001193068	EGAR00001193080	EGAR00001193078	EGAR00001193064	EGAR00001193058	EGAR00001193090	EGAR00001193052	EGAR00001193018	EGAR00001193056	EGAR00001193034	EGAR00001193074	EGAR00001193028	EGAR00001193076	EGAR00001193084	EGAR00001193044	EGAR00001193012	EGAR00001193070	EGAR00001193030	EGAR00001193026	EGAR00001193046	EGAR00001193054	EGAR00001193050	EGAR00001193038	EGAR00001193022	EGAR00001193020	EGAR00001193042	EGAR00001193086	EGAR00001193024	EGAR00001193036	EGAR00001193072
1__805799__810170__1:805799|810170	4.7713	7.108	4.0001	4.5961	4.0033	4.6084	2.8033	2.7344	3.0728	6.6792	6.0577	5.5002	4.6162	9.1936	5.6658	5.2155	4.2511	4.8492	3.1083	3.8001	5.1342	5.0258	4.1034	4.3976	5.908	4.8783	8.0008	7.5495	3.1866	4.4453	3.9754	4.4332	4.9333	4.5311	5.0092	6.5887	3.9775	6.2782	4.5706	2.6703
1__1804419__1806538__1:1804419|1806538	0.0408	0.0615	0.0622	0.0929	0.0572	0.0751	0.0342	0.0408	0.0372	0.1193	0.0596	0.0618	0.0474	0.1161	0.0384	0.0182	0.0186	0.0604	0	0.0415	0.1711	0.1031	0.0148	0.0154	0.1277	0.0341	0	0.1428	0.0174	0.0319	0	0.0788	0.0628	0.0634	0	0.1795	0.0542	0.0397	0	0.0434
1__1804419__1817875__1:1804419|1817875	0.1427	0.1231	0	0.1741	0.0572	0.1351	0	0	0.0372	0.2147	0	0.103	0.1265	0.1936	0	0.0729	0.0932	0.1207	0.1195	0.1246	0	0.1031	0.0593	0.123	0.1597	0.0512	0	0.1632	0.0174	0.1115	0.0864	0.0788	0.0707	0	0	0.0898	0.1446	0.0793	0.0213	0.1085
1__1815756__1825499__1:1815756|1825499	0.102	0.1077	0.1244	0.1625	0.0381	0.1201	0.0342	0.0816	0.0931	0.0954	0.0794	0.1648	0.0316	0.2129	0.096	0.0912	0.0746	0.2415	0.0956	0.1869	0	0.1289	0.0889	0.1384	0.0798	0.0341	0.1315	0.2857	0.0697	0.0478	0.1383	0.0788	0.055	0.0317	0.0596	0.1436	0.1808	0.1586	0.1913	0.0651
1__1815756__1839238__1:1815756|1839238	0.102	0.2154	0.1451	0.1161	0.0191	0.2252	0	0.1224	0.0745	0.0954	0.1589	0.1442	0.0632	0.1936	0.0576	0	0.0746	0.1006	0.0717	0.1246	0.0685	0.1546	0.163	0.2153	0.0479	0.0853	0.2192	0.2653	0.209	0.1115	0.0864	0.1379	0.1728	0.1901	0.2087	0.1795	0.1266	0.119	0.2126	0
1__2302978__2304585__1:2302978|2304585	0.0408	0.0769	0.1036	0.0464	0.0381	0.1801	0	0	0.0372	0.0239	0.0596	0.0412	0.0949	0.0581	0.096	0.1094	0.0746	0.1006	0.0717	0.0623	0.0685	0.0773	0.0741	0.1384	0.0798	0.0512	0.1315	0	0.1741	0.0956	0.1383	0.0788	0.0628	0.0792	0.0596	0.1077	0.0723	0	0.0638	0
1__7777160__7778169__1:7777160|7778169	1.3865	2.2309	1.3057	1.799	1.5251	2.1015	1.5726	1.1631	1.5644	1.0257	2.0854	2.1424	1.407	2.8645	1.7093	2.0242	2.2374	2.0926	1.6737	1.4121	1.6772	1.4691	1.6591	1.6299	1.9321	1.9445	1.8194	2.5505	1.4627	1.5455	1.7803	1.458	1.6732	1.6001	1.6996	2.2261	2.2238	1.8108	1.148	0.825
1__8655973__8656441__1:8655973|8656441	0.0816	0.2	0.2487	0.2902	0.1334	0.3002	0.1367	0.1428	0.1117	0.167	0	0.0618	0.1739	0.4258	0.2113	0.2371	0.2051	0.2415	0.0956	0.27	0.2396	0.232	0.1926	0.1384	0.0958	0.2217	0.1973	0.3469	0.1219	0.2709	0.2766	0.2561	0.3064	0.1109	0.1193	0.2334	0.3977	0.1718	0.2551	0.0651
1__9931891__9934860__1:9931891|9934860	0.6117	0.7077	0.9327	0.824	0.3813	0.8256	0.3761	0.5102	0.5587	0.6441	0.6753	0.4944	0.6956	1.7032	0.9027	0.7842	0.5407	1.1067	0.5021	0.6022	0.5134	0.9278	0.7555	0.8611	0.5748	0.8358	0.9426	1.5507	0.8532	0.7488	0.8642	0.7881	0.872	0.7288	0.6262	1.0951	0.6689	1.0442	0.5952	0.3908
1__9972018__9981170__1:9972018|9981170	0.0408	0	0.0207	0.0348	0.0381	0.03	0	0	0	0	0.0397	0	0.0474	0.0581	0.0384	0	0.0373	0.0402	0	0.0623	0.0685	0	0	0.0154	0.0798	0	0.0219	0.0408	0.0174	0	0.0173	0	0.0157	0.0158	0.1193	0.0359	0.0181	0	0	0.0217
1__10095461__10105744__1:10095461|10105744	0.0816	0	0.1036	0.0348	0	0.06	0.0342	0.0204	0.0931	0.1193	0.1192	0.0824	0	0.1161	0.096	0.0729	0.1119	0.0604	0	0.0623	0	0.1546	0.0444	0.0461	0.1277	0.0682	0.1096	0.0816	0.1045	0.0797	0.0346	0.1182	0.0707	0.0634	0.0298	0.0718	0.1085	0.0264	0.0638	0.0217
