ID	EGAR00001193088	EGAR00001193082	EGAR00001193062	EGAR00001193016	EGAR00001193014	EGAR00001193032	EGAR00001193066	EGAR00001193060	EGAR00001193048	EGAR00001193040	EGAR00001193068	EGAR00001193080	EGAR00001193078	EGAR00001193064	EGAR00001193058	EGAR00001193090	EGAR00001193052	EGAR00001193018	EGAR00001193056	EGAR00001193034	EGAR00001193074	EGAR00001193028	EGAR00001193076	EGAR00001193084	EGAR00001193044	EGAR00001193012	EGAR00001193070	EGAR00001193030	EGAR00001193026	EGAR00001193046	EGAR00001193054	EGAR00001193050	EGAR00001193038	EGAR00001193022	EGAR00001193020	EGAR00001193042	EGAR00001193086	EGAR00001193024	EGAR00001193036	EGAR00001193072
1__805799__810170__ENSG00000230092	4.7509	7.0773	4.0208	4.5961	4.2321	4.9086	2.8375	2.7752	3.435	6.7507	6.4351	5.4796	4.632	9.6969	5.7042	5.2155	4.4562	4.8492	3.1322	3.8001	5.3738	5.4124	4.3404	4.3823	6.2433	5.0489	8.3515	8.0392	3.1866	4.7958	3.9927	4.7287	4.9175	4.7687	5.0391	6.5887	3.9775	7.2206	4.5706	2.8223
1__1223244__1223968__ENSG00000078808	0.7952	1.2616	1.4094	1.7177	1.2582	1.6362	0.6666	0.9387	1.0836	1.9322	1.3506	1.751	1.4544	3.4258	2.1127	1.4771	1.3425	1.5493	1.0042	1.2875	1.4376	1.7268	1.0962	1.3224	1.3093	1.6034	1.5125	2.8974	1.1318	1.418	2.005	2.2067	1.846	1.5843	0.8349	2.1364	1.3017	1.4745	1.8495	1.8236
1__1804419__1806538__ENSG00000078369	0.0408	0.0615	0.0622	0.0929	0	0.0751	0.0342	0.0408	0.0409	0.1193	0.0596	0.0618	0.0474	0.1161	0.0384	0	0	0.0604	0	0.0415	0.1711	0.1031	0.0148	0.0154	0.1437	0.0512	0	0.1836	0.0174	0.0319	0	0.0788	0.0628	0.0475	0	0.2154	0.0542	0.0456	0	0.0434
1__1804419__1817875__ENSG00000078369	0.1427	0.1231	0.0622	0.1857	0.0572	0.1351	0	0.0408	0.0613	0.2147	0.0993	0.103	0.1265	0.1936	0.0384	0.0729	0.1119	0.1207	0.1195	0.1246	0	0.1031	0.0593	0.1076	0.1916	0.0512	0.1096	0.1632	0	0.1115	0.0864	0.0788	0.0786	0.0792	0.0895	0.1077	0.1085	0.0912	0	0.1085
1__1815756__1825499__ENSG00000078369	0.102	0.1077	0.1244	0.1393	0.0381	0.1051	0.0342	0.0816	0.1022	0.0954	0.0993	0.1854	0.0316	0.1936	0.096	0.0912	0.0746	0.2415	0.0956	0.1869	0	0.1289	0.0741	0.1384	0.0798	0.0341	0.1315	0.2448	0.0697	0.0319	0.1383	0.0788	0.0707	0.0317	0.0596	0.1436	0.1808	0.1824	0.1701	0.0651
1__1815756__1839238__ENSG00000078369	0.102	0.2154	0.1451	0.1161	0	0.2252	0.0342	0.1224	0.0613	0.0954	0.1589	0.1442	0.0632	0.1936	0.0576	0.0365	0.0746	0.1006	0.0717	0.1246	0.0685	0.1546	0.1778	0.2153	0.0479	0.0853	0.2192	0.2653	0.209	0.0797	0.0864	0.1379	0.1728	0.1901	0.2087	0.1795	0.1266	0.1368	0.2338	0.0868
1__2302978__2304585__ENSG00000157933	0.0408	0.0769	0.1036	0.0464	0	0.1801	0	0	0.0409	0	0.0596	0.0412	0.0949	0.0581	0.096	0.1094	0.0746	0.1006	0.0717	0.0623	0.0685	0.0773	0.0741	0.1384	0.0798	0.0512	0.1315	0.1224	0.1741	0.0956	0.1383	0.0788	0.0628	0.0792	0.0596	0.1077	0.0723	0	0.0638	0
1__7777160__7778169__ENSG00000049245	1.3865	2.2463	1.3057	1.8106	1.5251	2.0865	1.5726	1.1631	1.7175	1.0019	2.0854	2.1424	1.3912	2.8645	1.7093	2.006	2.2374	2.0926	1.6737	1.4121	1.6772	1.4691	1.6591	1.6299	1.9321	1.9445	1.8194	2.5505	1.4453	1.5455	1.7803	1.458	1.6732	1.6001	1.6996	2.2261	2.2057	2.0826	1.148	0.825
1__8541214__8557523__ENSG00000142599	0.1223	0.2462	0.3523	0.2786	0.1144	0.2552	0.1197	0.1428	0.1227	0.2863	0.3376	0.2472	0.1739	0.6774	0.2689	0.2188	0.4102	0.4427	0.263	0.2907	0.2054	0.3351	0.1778	0.3383	0.2555	0.2729	0.1754	0.4693	0.1915	0.2868	0.2766	0.4729	0.3299	0.2852	0.1789	0.2693	0.2712	0.1976	0.4464	0.0868
1__8655973__8656441__ENSG00000142599	0.0816	0.2154	0.2487	0.2902	0.1334	0.3002	0.1367	0.1428	0.1227	0.167	0	0.0618	0.1739	0.4452	0.2113	0.2371	0.2051	0.2415	0.0956	0.27	0.2396	0.232	0.1926	0.1691	0.0958	0.2217	0.1973	0.3469	0.1219	0.2709	0.2766	0.2561	0.3064	0.1109	0.1193	0.2334	0.4339	0.1976	0.2551	0.0651
