ID	rsID	eqtl_pvalue	gwas_pvalue
1__155676548__155679512__ENSG00000163374	rs1045253	6.21658e-05	7.9038433911e-08
1__155676548__155679512__ENSG00000163374	rs1046188	4.52747e-05	1.93748533805e-07
1__155676548__155679512__ENSG00000163374	rs1052176	2.76156e-05	1.11204826454e-07
1__155676548__155679512__ENSG00000163374	rs1052177	2.76156e-05	2.77931516513e-07
1__155676548__155679512__ENSG00000163374	rs10752611	2.11925e-07	8.28939047538e-06
1__155676548__155679512__ENSG00000163374	rs1076556	4.52747e-05	9.08154354203e-08
1__155676548__155679512__ENSG00000163374	rs1078699	4.52747e-05	1.2275452253e-07
1__155676548__155679512__ENSG00000163374	rs10796946	2.11925e-07	6.85681065467e-06
1__155676548__155679512__ENSG00000163374	rs10908435	0.0136898	0.186815290282
1__155676548__155679512__ENSG00000163374	rs10908461	6.73676e-07	4.52825067754e-07
1__155676548__155679512__ENSG00000163374	rs10908463	6.73676e-07	8.31873458519e-08
1__155676548__155679512__ENSG00000163374	rs10908465	2.11925e-07	7.89152357076e-06
1__155676548__155679512__ENSG00000163374	rs10908466	2.11925e-07	3.80294478942e-06
1__155676548__155679512__ENSG00000163374	rs10908469	2.11925e-07	1.20827824107e-06
1__155676548__155679512__ENSG00000163374	rs10908470	2.11925e-07	9.4639877767e-06
1__155676548__155679512__ENSG00000163374	rs10908471	2.11925e-07	3.20742606825e-06
1__155676548__155679512__ENSG00000163374	rs10908481	1.32955e-05	7.41361843568e-06
1__155676548__155679512__ENSG00000163374	rs112270735	1.66228e-07	0.000163859971947
1__155676548__155679512__ENSG00000163374	rs11264349	1.12469e-05	2.04193062181e-06
1__155676548__155679512__ENSG00000163374	rs11264352	4.52747e-05	2.07711656448e-07
1__155676548__155679512__ENSG00000163374	rs11264355	2.76156e-05	1.23795283823e-07
1__155676548__155679512__ENSG00000163374	rs11264359	6.73676e-07	1.20911314287e-06
1__155676548__155679512__ENSG00000163374	rs11264360	6.73676e-07	4.94747404979e-08
1__155676548__155679512__ENSG00000163374	rs11264361	6.73676e-07	4.0538302754e-08
1__155676548__155679512__ENSG00000163374	rs11264363	2.65161e-06	1.26356483783e-07
1__155676548__155679512__ENSG00000163374	rs11264371	1.0818e-06	0.000745151731661
1__155676548__155679512__ENSG00000163374	rs11264372	1.0818e-06	0.000412339034502
1__155676548__155679512__ENSG00000163374	rs11264375	2.11925e-07	5.029255449e-06
1__155676548__155679512__ENSG00000163374	rs11264380	2.11925e-07	1.12230843843e-05
1__155676548__155679512__ENSG00000163374	rs11264386	2.11925e-07	5.74011388946e-05
1__155676548__155679512__ENSG00000163374	rs11264387	2.11925e-07	1.70934342617e-05
1__155676548__155679512__ENSG00000163374	rs11264422	0.0038237	3.9655375534e-05
1__155676548__155679512__ENSG00000163374	rs11264426	2.8936e-05	3.23017670843e-06
1__155676548__155679512__ENSG00000163374	rs114973352	0.0103023	0.00779943138334
1__155676548__155679512__ENSG00000163374	rs11577179	0.00839373	0.0107395941795
1__155676548__155679512__ENSG00000163374	rs11585845	2.8936e-05	1.00823839517e-05
1__155676548__155679512__ENSG00000163374	rs115904883	0.0990745	0.157908755765
1__155676548__155679512__ENSG00000163374	rs116675930	0.0829118	0.21849923029
1__155676548__155679512__ENSG00000163374	rs12032631	0.00839373	0.0123347451789
1__155676548__155679512__ENSG00000163374	rs12032720	6.73676e-07	8.11658415452e-07
1__155676548__155679512__ENSG00000163374	rs12034326	0.000474425	2.54836858492e-07
1__155676548__155679512__ENSG00000163374	rs12035524	1.50864e-08	0.00178760191932
1__155676548__155679512__ENSG00000163374	rs12039893	2.11925e-07	1.41305310065e-06
1__155676548__155679512__ENSG00000163374	rs12040100	2.11925e-07	1.80740523436e-05
1__155676548__155679512__ENSG00000163374	rs12041534	8.51931e-06	7.57601575244e-06
1__155676548__155679512__ENSG00000163374	rs12049375	4.52747e-05	2.24080792741e-07
1__155676548__155679512__ENSG00000163374	rs12080846	0.0221214	0.000178797453474
1__155676548__155679512__ENSG00000163374	rs12091361	0.0221214	0.000176768670594
1__155676548__155679512__ENSG00000163374	rs12118795	7.66936e-06	7.32240075349e-05
1__155676548__155679512__ENSG00000163374	rs12119678	0.00969474	0.000737455081708
1__155676548__155679512__ENSG00000163374	rs12128541	0.00839373	0.0174031444704
1__155676548__155679512__ENSG00000163374	rs12239114	2.60382e-08	5.58831602704e-07
1__155676548__155679512__ENSG00000163374	rs12563627	0.00250195	2.51510681979e-06
1__155676548__155679512__ENSG00000163374	rs12724079	8.79256e-06	7.39025316366e-07
1__155676548__155679512__ENSG00000163374	rs12724449	2.76156e-05	2.16170139468e-07
1__155676548__155679512__ENSG00000163374	rs12744132	1.50864e-08	0.000620737376408
1__155676548__155679512__ENSG00000163374	rs12746592	2.11925e-07	9.88825737539e-06
