circID	chr	start	end	geneID	strand
4__143543509__143543972__ENSG00000153147	4	143543509	143543972	ENSG00000153147	+
15__64499293__64500166__ENSG00000180357	15	64499293	64500166	ENSG00000180357	+
7__158759486__158764853__ENSG00000117868	7	158759486	158764853	ENSG00000117868	-
8__51860845__51861246__ENSG00000168300	8	51860845	51861246	ENSG00000168300	-
12__46229153__46243314__ENSG00000111371	12	46229153	46243314	ENSG00000111371	-
4__152411303__152412529__ENSG00000109670	4	152411303	152412529	ENSG00000109670	-
13__32517857__32527532__ENSG00000244754	13	32517857	32527532	ENSG00000244754	-
2__112299849__112300029__ENSG00000188177	2	112299849	112300029	ENSG00000188177	+
5__123545417__123557564__ENSG00000151292	5	123545417	123557564	ENSG00000151292	+
5__70219918__70225795__ENSG00000253816	5	70219918	70225795	ENSG00000253816	-
1__155676548__155679512__ENSG00000163374	1	155676548	155679512	ENSG00000163374	-
1__805799__810170__ENSG00000230092	1	805799	810170	ENSG00000230092	-
14__22909483__22911403__ENSG00000100461	14	22909483	22911403	ENSG00000100461	-
19__23358430__23362725__ENSG00000167232	19	23358430	23362725	ENSG00000167232	-
1__117402186__117420649__ENSG00000198162	1	117402186	117420649	ENSG00000198162	+
6__116689320__116692392__ENSG00000196911	6	116689320	116692392	ENSG00000196911	+
18__9182382__9221999__ENSG00000101745	18	9182382	9221999	ENSG00000101745	+
5__168488602__168494650__ENSG00000113643	5	168488602	168494650	ENSG00000113643	+
X__65051462__65075912__ENSG00000102053	X	65051462	65075912	ENSG00000102053	+
12__46239679__46243314__ENSG00000111371	12	46239679	46243314	ENSG00000111371	-
15__100564692__100565265__ENSG00000140471	15	100564692	100565265	ENSG00000140471	-
5__137985257__137988315__ENSG00000031003	5	137985257	137988315	ENSG00000031003	-
12__28225795__28259442__ENSG00000123106	12	28225795	28259442	ENSG00000123106	+
3__56592970__56594028__ENSG00000180376	3	56592970	56594028	ENSG00000180376	+
7__50319048__50327757__ENSG00000185811	7	50319048	50327757	ENSG00000185811	+
15__32526813__32533368__ENSG00000223509	15	32526813	32533368	ENSG00000223509	-
14__99257471__99257839__ENSG00000127152	14	99257471	99257839	ENSG00000127152	-
9__37126312__37126942__ENSG00000147905	9	37126312	37126942	ENSG00000147905	+
20__58438945__58441083__ENSG00000124164	20	58438945	58441083	ENSG00000124164	+
