ID	EGAR00001193088	EGAR00001193082	EGAR00001193062	EGAR00001193016	EGAR00001193014	EGAR00001193032	EGAR00001193066	EGAR00001193060	EGAR00001193048	EGAR00001193040	EGAR00001193068	EGAR00001193080	EGAR00001193078	EGAR00001193064	EGAR00001193058	EGAR00001193090	EGAR00001193052	EGAR00001193018	EGAR00001193056	EGAR00001193034	EGAR00001193074	EGAR00001193028	EGAR00001193076	EGAR00001193084	EGAR00001193044	EGAR00001193012	EGAR00001193070	EGAR00001193030	EGAR00001193026	EGAR00001193046	EGAR00001193054	EGAR00001193050	EGAR00001193038	EGAR00001193022	EGAR00001193020	EGAR00001193042	EGAR00001193086	EGAR00001193024	EGAR00001193036	EGAR00001193072
1__805799__810170__ENSG00000230092	4.4247	7.0619	3.8965	4.5613	4.0605	4.5784	2.6324	2.7548	3.1287	6.7507	6.0577	5.4796	4.8217	9.1356	5.2816	4.9237	4.2325	4.6681	3.0366	3.8001	5.1342	5.0258	4.0886	4.1824	5.908	4.8783	7.8912	7.5087	3.0473	4.4771	3.9927	4.4726	4.8547	4.5628	4.6514	6.5887	3.7786	6.2782	4.4005	2.6703
1__1223244__1223968__ENSG00000078808	0.7952	1.2462	1.4094	1.7409	1.2582	1.6512	0.6666	0.9387	0.987	1.9322	1.3506	1.751	1.4544	3.4258	2.1127	1.4771	1.3238	1.5493	1.0042	1.2875	1.4376	1.7268	1.0962	1.3224	1.3093	1.6034	1.5125	2.8974	1.1318	1.418	2.005	2.2067	1.846	1.5843	0.8349	2.1364	1.3017	1.2028	1.8495	1.8236
1__1804419__1806538__ENSG00000078369	0.0612	0.0615	0.0415	0.0929	0	0.0751	0	0.0408	0.0372	0.1193	0.0596	0.0618	0.0474	0.1161	0	0	0	0.0604	0	0.0415	0.1711	0.1031	0.0296	0	0.1277	0	0	0.1428	0	0	0	0	0.0628	0.0317	0.0298	0.2154	0	0.0397	0	0
1__1804419__1817875__ENSG00000078369	0.1427	0.1231	0.0622	0.1625	0.0572	0.1351	0	0	0.0559	0.167	0.0993	0.103	0.1423	0.1936	0.0384	0.0729	0.0746	0.1207	0	0.1246	0	0.1031	0	0.1076	0.1597	0.0512	0.1096	0.1428	0.0348	0.0956	0	0.0788	0.0707	0.0792	0.0895	0.1077	0.1266	0.0793	0.0213	0.1085
1__1815756__1825499__ENSG00000078369	0.102	0.1077	0.1036	0.1509	0.0381	0.1201	0.0342	0.0816	0.0931	0.0954	0.0993	0.1854	0.0316	0.2129	0.1152	0.0912	0.0746	0.2415	0.0717	0.1869	0	0.1289	0.0889	0.1384	0.0798	0.0341	0.1315	0.2857	0.0697	0.0478	0.1383	0.0788	0.0786	0.0475	0.0596	0.1436	0.1808	0.1586	0.1913	0.0651
1__1815756__1839238__ENSG00000078369	0.102	0.2154	0.1451	0.1161	0	0.2252	0	0.1224	0.0559	0.0954	0.1589	0.1236	0.0632	0.1936	0.0576	0.0365	0.0746	0.1006	0.0717	0.1246	0.0685	0.1546	0.163	0.2153	0	0.0853	0.2192	0.2653	0.209	0.1115	0	0.1379	0.1728	0.1901	0.2087	0.1795	0.1266	0.119	0.2338	0
1__2302978__2304585__ENSG00000157933	0.0408	0	0.1036	0.0464	0	0.1801	0	0.0204	0.0372	0.0239	0.0596	0.0412	0.0949	0.0581	0.096	0.1094	0.0746	0	0.0717	0.0623	0.0685	0.0773	0.0741	0.1384	0.0798	0.0512	0.1315	0	0.1741	0.0956	0.1383	0.0788	0.0628	0.0792	0.0596	0.1077	0.0723	0.0132	0.0638	0.0217
1__7777160__7778169__ENSG00000049245	1.3865	2.2463	1.3057	1.8106	1.5251	2.1015	1.5726	1.1631	1.5644	1.0019	2.0854	2.1424	1.3912	2.8645	1.7093	2.0424	2.2374	2.0926	1.6737	1.4121	1.6772	1.4691	1.6591	1.6299	1.9321	1.9445	1.8194	2.5505	1.4453	1.5455	1.7803	1.458	1.6732	1.6001	1.6996	2.2261	2.2238	1.8108	1.148	0.825
1__8541214__8557523__ENSG00000142599	0.1223	0.2462	0.3523	0.3018	0.2097	0.2402	0.2393	0.1428	0.1304	0.2863	0.3376	0.2472	0.1739	0.6774	0.2689	0.2188	0.4102	0.4427	0.2869	0.2907	0.2396	0.3351	0.1778	0.246	0.2555	0.29	0.1754	0.4693	0.1915	0.2549	0.2074	0.3941	0.3299	0.2852	0.2087	0.2513	0.2712	0.185	0.4464	0.0868
1__8655973__8656441__ENSG00000142599	0.0816	0.1846	0.2487	0.2902	0.1334	0.3002	0.1367	0.1428	0.1117	0.167	0	0	0.1739	0.4258	0.2113	0.2371	0.2051	0.2415	0.0956	0.27	0.2396	0.232	0.1926	0.1691	0.0958	0.2217	0.1973	0.3469	0.1219	0.2709	0.2766	0.2561	0.3064	0	0	0.2334	0.4158	0.1718	0.2551	0.0651
